PROJETO-ID,PROJETO
146,1269 - T.ADESAO CV FINEP/FUNAPE/FCPC-RECOGAS
147,1270 - CT  FCPC/EMBRAPA/PAN  FLORA LTDA./TREINA
148,1271 - FCPC / FARMACIAS VIVAS
149,1272 - ECV 905/2002-CV ELETROBRAS/PROCEL/FCPC
150,1273 - CV - FINEP/FCPC GESTAO BAIXO JAGUARIBE
151,1274 - CV - FADE/UFPE/FCPC-UNIAO E REVESTIMENTO
152,1275 - CV - FADE/UFPE/FCPC-MATERIAIS AVANCADOS
153,1277 - CT - PETROBRAS/CENPES/LABOMAR
154,1278 - CT - BOTICARIO/FCPC-PLANTAS AQUATICAS
155,1280 - CT - UFC/FCPC/CURSO DE ESP. HEMATOLOGIA/03
156,1281 - ACORDO OPAS/OMS/FCPC/PROMED
157,1282 - CV MONYTEL S.A. / FCPC
158,1283 - CT FLORA MEDICINAL/FCPC - OVARIFLORA
159,1285 - CV - SRH/FCPC/CURSO DE TREIN.COLETA/DADOS
160,1286 - DOACAO/FCPC/BANCO REAL
161,1287 - CV - PT - 03 INST.ATLANT./FCPC-JAVA
162,1289 - FCPC/LAUDO TECNICO-CENAUREMN
163,1290 - DOACAO/FCPC/FARMACIA VIVA
164,1291 - CV - FUNCAP/FCPC - N.20/2002
165,1293 - CV - BNB/FCPC/EMBRAPA/CNPAT
166,1297 - CV - BN/FCPC/EMBRAPA/CNPAT
167,1298 - CV - BN/FCPC/EMBRAPA/CNPAT
168,1299 - DOACAOAVEDA/FCPC/FARMACIAS VIVAS
169,1300 - CURSO DE ESP.EM ENDODONTIA-2003
170,1301 - CT - PETROBRAS/FCPC/BACIA POTIGUAR-RN
171,1303 - CNPQ/FCPC-LIVRO SOBRE A SECA NO CEARA
172,1304 - CV BNB/FCPC/EMBRAPA BAIXO JAGUARIBE
173,1306 - FCPC / UFC / SRH - DOACAO
174,1310 - CT - UFC/FCPC/C.DE ESP.BIOLOGIA MOLECULAR/03
175,1311 - CT - UFC/FCPC/C.ESP.EM PROTESE DENTAL/03
